Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Geographical_Distribution,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Executive_Sponsorship,Funding_Source,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Risk_Level
Construction,28,2275091.06,27,6.34,21,Hybrid,Senior,4,2,0.64,Closure,Volatile,0.29,0.96,1,0.61,Low,Expert,1,High,0.0,1.15,Weak,Internal,0.17,2.51,0.99,Low,0.96,0,0.73,0.0,Senior PM,Defined,Low,Excellent,Hybrid,Medium,Moderate,Strategic,Basic,Basic,Partially Colocated,Basic,6,4,1.0,Low
Construction,37,1955080.71,28,7.99,17,Waterfall,Senior,4,3,1.92,Closure,Volatile,0.02,0.46,0,4.09,High,Expert,2,High,0.0,0.82,Weak,External,0.62,7.3,0.3,Low,4.24,1,0.62,0.0,Senior PM,Ad-hoc,High,Excellent,Hybrid,Medium,Moderate,Regular,Unknown,Unknown,Hybrid,Good,8,4,1.0,High
R&D,23,2220729.86,24,9.35,16,Scrum,Mixed,1,5,2.56,Closure,Moderate,0.22,0.9,0,7.74,High,New,5,Medium,0.0,1.23,Moderate,Mixed,0.13,8.86,0.43,High,0.44,6,0.59,0.0,Mid-level PM,Managed,Medium,Poor,Fixed-Price,High,High,Strategic,Formal,Basic,Fully Colocated,Excellent,1,4,1.0,High
R&D,13,851072.62,13,6.46,9,Agile,Mixed,2,5,1.74,Execution,Moderate,0.29,0.65,0,5.34,Low,New,2,Poor,0.2,1.09,Moderate,Government,0.95,6.86,0.77,High,0.26,6,0.59,0.0,Mid-level PM,Defined,High,Moderate,Fixed-Price,Medium,Stable,First-time,Basic,Basic,Hybrid,Good,4,2,1.0,High
Construction,39,2002943.91,30,8.73,18,Waterfall,Mixed,0,5,4.08,Execution,Volatile,0.33,0.75,1,3.85,Medium,Familiar,1,Low,0.0,1.23,Weak,External,0.88,9.6,0.37,Critical,3.3,6,0.78,0.0,Mid-level PM,Optimizing,Low,Moderate,Time & Materials,High,Extreme,Occasional,Formal,Basic,Partially Colocated,Basic,12,2,1.0,Critical
IT,5,967974.16,8,3.15,8,Scrum,Senior,3,1,1.72,Monitoring,Stable,0.31,0.95,1,2.98,Critical,Expert,1,Low,0.0,1.21,Moderate,Government,0.6,5.8,0.68,High,0.17,6,0.95,0.41,Junior PM,Managed,High,Good,Fixed-Price,High,Stable,Strategic,Formal,Basic,Partially Colocated,Good,2,2,1.0,Medium
Marketing,6,546148.24,9,5.46,8,Scrum,Senior,1,4,0.11,Planning,Volatile,0.05,0.94,2,3.36,Medium,Familiar,3,Excellent,0.34,1.3,Strong,External,0.74,3.31,0.73,Low,1.19,6,0.86,0.0,Junior PM,Optimizing,Low,Excellent,Fixed-Price,Low,High,Occasional,Formal,Advanced,Partially Colocated,Good,2,1,1.0,Low
R&D,22,2420536.93,26,8.97,19,Scrum,Junior,0,5,1.39,Initiation,Moderate,0.25,0.56,1,1.32,Critical,Familiar,1,Medium,0.0,1.15,Moderate,Mixed,0.05,1.11,0.93,Low,3.23,5,0.77,0.0,Mid-level PM,Defined,Medium,Limited,Time & Materials,High,Moderate,Strategic,Basic,Basic,Fully Colocated,Basic,3,7,1.0,High
Healthcare,15,798100.97,13,3.85,7,Hybrid,Junior,2,0,1.02,Planning,Moderate,0.53,0.82,1,9.53,Medium,New,4,Medium,0.0,0.72,Strong,Government,0.76,2.26,0.7,Medium,0.69,4,0.71,0.0,Mid-level PM,Defined,Medium,Poor,Time & Materials,Low,High,Regular,Basic,Basic,Partially Colocated,Good,3,2,1.0,Medium
Construction,40,2320842.2,32,7.91,21,Waterfall,Senior,1,5,1.57,Initiation,Stable,0.37,0.48,3,6.68,Medium,Expert,3,Medium,0.0,1.13,Moderate,External,0.88,7.82,0.81,Critical,1.04,5,0.81,0.0,Mid-level PM,Optimizing,Medium,Limited,Fixed-Price,Low,Moderate,Occasional,Basic,Formal,Hybrid,Excellent,11,12,1.0,Medium
IT,5,375582.52,8,3.44,9,Scrum,Mixed,0,2,0.44,Planning,Moderate,0.27,0.66,2,2.46,Critical,Expert,2,Poor,0.07,1.1,Strong,External,0.09,7.06,0.83,Critical,0.66,5,0.84,0.94,Mid-level PM,Managed,High,Poor,Fixed-Price,Medium,Stable,First-time,Basic,Formal,Fully Remote,Basic,11,1,1.1,Medium
Construction,14,1012582.15,15,4.36,8,Hybrid,Senior,3,3,0.18,Monitoring,Volatile,0.17,0.92,1,1.62,High,Familiar,4,High,0.0,1.12,Moderate,External,0.1,7.02,0.38,High,0.69,3,0.62,0.0,Mid-level PM,Ad-hoc,High,Moderate,Fixed-Price,High,Stable,First-time,Unknown,Unknown,Fully Remote,Basic,9,3,1.0,Critical
IT,13,1161579.05,17,8.19,14,Agile,Junior,0,3,2.16,Planning,Stable,0.32,0.9,0,1.57,Low,Familiar,3,Low,0.17,0.9,Weak,Mixed,0.67,2.71,0.39,Critical,1.41,0,0.48,0.41,Mid-level PM,Defined,Strict,Limited,Fixed-Price,Low,Moderate,Strategic,Basic,Basic,Fully Remote,Poor,1,5,1.0,Critical
Construction,34,2368507.92,24,4.11,22,Waterfall,Mixed,0,1,1.48,Planning,Moderate,0.32,0.85,4,3.1,Medium,New,3,High,0.0,0.66,Strong,Internal,0.23,6.65,0.61,Critical,0.39,7,0.8,0.0,Senior PM,Managed,High,Excellent,Time & Materials,High,Stable,Strategic,Formal,Unknown,Fully Remote,Excellent,6,2,1.0,Medium
IT,10,835202.47,20,8.84,12,Agile,Mixed,0,3,1.22,Planning,Moderate,0.17,0.78,0,4.05,Critical,New,5,Poor,0.1,0.85,Moderate,External,0.28,1.71,0.61,Low,0.85,7,0.59,0.31,Senior PM,Managed,High,Excellent,Time & Materials,Medium,High,First-time,Formal,Advanced,Hybrid,Basic,1,6,1.0,Medium
IT,8,616369.79,11,5.34,7,Agile,Senior,4,3,0.36,Initiation,Moderate,0.22,0.2,3,1.19,Medium,Expert,2,High,0.18,1.26,Weak,Internal,0.87,2.08,0.78,Low,0.85,3,0.55,0.34,Senior PM,Managed,Strict,Moderate,Fixed-Price,Low,High,First-time,Basic,Formal,Hybrid,Good,8,1,1.0,Critical
Marketing,10,636923.86,11,4.28,7,Waterfall,Junior,0,1,1.12,Closure,Volatile,0.28,0.72,2,3.09,Low,New,5,Poor,0.0,1.13,Moderate,Internal,0.14,6.88,0.93,Critical,0.6,0,0.7,0.0,Senior PM,Ad-hoc,Low,Good,Cost-Plus,High,Stable,First-time,Unknown,Unknown,Fully Colocated,Good,9,3,1.0,Critical
Manufacturing,7,591695.7,7,1.64,4,Hybrid,Junior,2,1,2.19,Execution,Stable,0.3,0.61,0,4.93,High,Familiar,1,Excellent,0.0,1.3,Moderate,External,0.41,3.98,0.52,Critical,1.0,7,0.98,0.0,Senior PM,Managed,Low,Moderate,Cost-Plus,Low,Stable,Regular,Formal,Basic,Fully Colocated,Basic,12,2,1.0,Low
IT,13,777159.49,18,7.43,7,Agile,Senior,2,4,1.14,Planning,Moderate,0.41,0.9,2,4.1,Low,Expert,2,Medium,0.03,0.86,Moderate,External,0.87,2.42,0.42,High,0.69,0,0.91,0.18,Senior PM,Optimizing,High,Moderate,Cost-Plus,Low,High,Occasional,Advanced,Formal,Fully Remote,Basic,10,2,1.1,Medium
Marketing,3,426275.8,9,4.16,5,Agile,Mixed,3,3,4.58,Execution,Volatile,0.21,0.6,3,1.83,Low,Familiar,2,Excellent,0.13,0.83,Weak,External,0.79,7.49,0.5,Low,1.83,1,0.86,0.0,Mid-level PM,Defined,High,Moderate,Time & Materials,Low,Moderate,Occasional,Unknown,Formal,Hybrid,Poor,4,3,1.0,High
R&D,30,2680585.36,28,10.0,18,Agile,Senior,2,4,0.39,Closure,Moderate,0.1,0.75,1,3.41,Medium,Familiar,1,Low,0.0,1.23,Moderate,External,0.55,5.0,0.92,High,2.04,6,0.35,0.0,Mid-level PM,Defined,Medium,Moderate,Time & Materials,High,Extreme,Strategic,Basic,Unknown,Fully Colocated,Good,8,2,1.0,High
Manufacturing,7,806949.4,7,2.93,7,Scrum,Junior,1,2,0.36,Planning,Stable,0.41,0.32,2,1.29,Medium,Expert,5,Low,0.04,1.02,Moderate,External,0.85,8.64,0.4,Low,1.02,1,0.91,0.0,Mid-level PM,Defined,Low,Good,Time & Materials,Medium,Stable,Strategic,Basic,Basic,Hybrid,Poor,11,2,1.0,Medium
Healthcare,10,843934.1,12,5.81,6,Agile,Senior,4,3,2.33,Planning,Volatile,0.07,0.84,2,3.2,High,Expert,5,High,0.17,1.24,Moderate,Internal,0.71,9.33,0.8,Low,1.58,1,0.63,0.0,Senior PM,Optimizing,Medium,Moderate,Time & Materials,Low,Moderate,Strategic,Formal,Advanced,Partially Colocated,Excellent,4,1,1.0,Low
Construction,15,987875.75,15,4.61,13,Waterfall,Junior,0,3,0.46,Monitoring,Moderate,0.35,0.48,6,4.85,Medium,Familiar,2,Excellent,0.0,0.85,Moderate,Internal,0.81,4.19,0.35,Medium,0.24,1,0.78,0.0,Certified PM,Defined,High,Limited,Time & Materials,Medium,Stable,Occasional,Advanced,Basic,Fully Remote,Poor,10,3,1.0,Medium
Manufacturing,7,603729.02,8,3.63,7,Agile,Junior,0,0,2.63,Initiation,Moderate,0.55,0.75,3,2.0,Medium,New,2,High,0.12,0.91,Weak,Government,0.29,4.97,0.4,Medium,0.9,7,0.93,0.0,Senior PM,Defined,Low,Limited,Time & Materials,Medium,Moderate,Occasional,Basic,Basic,Fully Colocated,Good,3,2,1.0,High
R&D,19,1518379.6,25,9.27,13,Agile,Mixed,1,6,4.08,Initiation,Moderate,0.54,0.2,2,1.27,High,New,2,Medium,0.0,0.63,Weak,Internal,0.36,6.49,0.39,Medium,1.48,4,0.53,0.0,Mid-level PM,Managed,Medium,Moderate,Hybrid,Low,Extreme,Occasional,Basic,Formal,Hybrid,Basic,4,1,1.0,Critical
Construction,22,1470736.19,18,4.37,16,Waterfall,Mixed,1,3,1.15,Monitoring,Stable,0.2,0.77,3,3.36,High,Familiar,2,Medium,0.0,1.14,Moderate,External,0.76,7.77,0.84,Medium,1.98,4,0.62,0.0,Mid-level PM,Defined,Low,Good,Cost-Plus,High,Stable,Occasional,Formal,Unknown,Fully Colocated,Excellent,4,6,1.0,Medium
Marketing,7,752741.41,14,4.35,6,Kanban,Junior,0,3,2.85,Monitoring,Moderate,0.28,0.56,2,1.76,Low,Familiar,5,High,0.0,1.3,Moderate,Mixed,0.69,8.29,0.87,Low,0.67,5,0.86,0.0,Junior PM,Defined,Medium,Good,Time & Materials,Low,Moderate,Occasional,Formal,Basic,Hybrid,Poor,5,2,1.0,Medium
Construction,28,1450728.8,26,7.46,14,Waterfall,Mixed,1,3,1.11,Closure,Moderate,0.31,0.8,3,2.47,High,New,2,Poor,0.0,0.92,Moderate,Internal,0.13,9.09,0.39,Medium,0.8,2,0.63,0.0,Mid-level PM,Ad-hoc,Medium,Moderate,Cost-Plus,High,Moderate,First-time,Basic,Basic,Hybrid,Excellent,2,3,1.0,Critical
IT,4,472604.98,12,5.72,7,Agile,Senior,3,1,1.64,Execution,Stable,0.17,0.41,0,5.06,Low,New,4,Poor,0.16,1.13,Weak,Mixed,0.94,1.9,0.63,Medium,0.37,1,0.82,0.9,Senior PM,Managed,High,Excellent,Time & Materials,Low,High,First-time,Formal,Basic,Fully Remote,Basic,10,4,1.1,High
Construction,31,1602955.26,26,7.11,16,Waterfall,Senior,2,5,1.21,Monitoring,Moderate,0.16,0.88,1,3.25,Critical,Expert,1,Poor,0.0,1.15,Moderate,Internal,0.78,4.89,0.51,High,0.73,4,0.89,0.0,Junior PM,Defined,Low,Good,Time & Materials,Medium,Extreme,Occasional,Basic,Unknown,Partially Colocated,Basic,11,2,1.0,Critical
Manufacturing,7,534596.86,9,3.9,7,Agile,Mixed,0,1,0.56,Planning,Stable,0.11,0.71,1,1.1,Medium,Expert,5,Excellent,0.08,0.66,Moderate,External,0.64,1.45,0.54,High,1.09,2,0.88,0.0,Junior PM,Managed,Medium,Excellent,Time & Materials,Low,Extreme,First-time,Formal,Basic,Partially Colocated,Basic,12,1,1.0,Low
Manufacturing,5,832655.49,9,4.31,8,Agile,Junior,0,3,2.17,Monitoring,Moderate,0.37,0.89,2,2.49,Low,Expert,3,Poor,0.16,1.11,Weak,Internal,0.75,2.6,0.99,Critical,1.41,1,0.82,0.0,Senior PM,Managed,Medium,Moderate,Fixed-Price,High,Moderate,Regular,Basic,Unknown,Fully Colocated,Basic,3,1,1.0,High
Manufacturing,7,537154.95,10,3.45,7,Hybrid,Senior,4,0,2.02,Execution,Moderate,0.25,0.96,0,4.16,Low,Familiar,1,Low,0.0,0.77,Strong,External,0.67,3.48,0.84,Medium,0.22,0,0.94,0.0,Senior PM,Ad-hoc,Low,Good,Fixed-Price,Medium,Moderate,First-time,Basic,Unknown,Fully Colocated,Poor,4,1,1.0,High
IT,9,821018.73,12,5.91,7,Agile,Mixed,0,3,3.48,Initiation,Moderate,0.34,0.6,1,3.98,High,Familiar,3,Low,0.19,0.74,Strong,Mixed,0.67,7.48,0.61,Medium,1.42,5,0.89,0.75,Mid-level PM,Defined,High,Poor,Time & Materials,Medium,Moderate,Regular,Formal,Basic,Fully Colocated,Poor,4,4,1.0,High
Construction,38,2323847.17,32,9.18,19,Waterfall,Junior,2,6,1.49,Monitoring,Moderate,0.62,0.81,1,7.63,Medium,New,3,High,0.0,0.72,Weak,External,0.66,5.82,0.83,Critical,2.72,2,0.76,0.0,Certified PM,Ad-hoc,Low,Moderate,Fixed-Price,Medium,High,Occasional,Unknown,Unknown,Hybrid,Excellent,11,14,1.0,Critical
Healthcare,9,681353.0,11,3.61,8,Scrum,Mixed,1,1,3.87,Planning,Volatile,0.71,0.9,1,3.73,Medium,Familiar,5,Poor,0.0,0.64,Moderate,Government,0.56,9.89,0.41,Critical,3.4,0,0.83,0.0,Mid-level PM,Optimizing,Low,Good,Fixed-Price,Medium,Extreme,Strategic,Formal,Advanced,Partially Colocated,Poor,9,3,1.0,Medium
R&D,11,1219869.06,14,6.14,9,Agile,Expert,2,3,1.03,Planning,Moderate,0.38,0.82,2,3.89,High,New,4,Excellent,0.09,1.11,Weak,External,0.11,5.29,0.6,Medium,0.49,0,0.83,0.0,Certified PM,Optimizing,Medium,Good,Cost-Plus,Low,Stable,Occasional,Advanced,Advanced,Hybrid,Basic,7,2,1.0,Low
Construction,19,1468415.91,22,6.23,12,Hybrid,Mixed,1,2,1.66,Planning,Moderate,0.44,0.28,0,5.12,Critical,Familiar,1,Medium,0.0,0.86,Moderate,Mixed,0.37,6.4,0.62,High,0.6,2,0.67,0.0,Mid-level PM,Defined,Low,Limited,Time & Materials,Low,Stable,Occasional,Basic,Basic,Fully Colocated,Basic,12,10,1.0,Medium
IT,5,445379.43,7,2.84,4,Agile,Senior,6,1,0.86,Closure,Stable,0.09,0.94,2,7.65,High,Familiar,4,Low,0.01,0.98,Weak,Government,0.2,9.61,0.55,High,1.64,5,0.63,0.52,Senior PM,Defined,Strict,Good,Time & Materials,Medium,Stable,Regular,Unknown,Formal,Partially Colocated,Poor,4,2,1.0,Medium
IT,7,702970.1,12,4.64,8,Scrum,Mixed,0,3,2.18,Execution,Moderate,0.79,0.46,2,4.38,Low,Familiar,1,High,0.0,1.23,Strong,Internal,0.94,6.85,0.67,Low,3.61,2,0.72,0.73,Mid-level PM,Defined,High,Moderate,Time & Materials,Medium,Stable,Occasional,Formal,Basic,Fully Colocated,Poor,8,3,1.0,High
R&D,18,1817923.24,25,9.0,13,Scrum,Mixed,0,3,0.94,Initiation,Moderate,0.55,0.39,0,2.06,Critical,New,2,High,0.0,1.07,Moderate,Government,0.68,5.33,0.83,Critical,1.02,6,0.44,0.0,Mid-level PM,Defined,Low,Moderate,Time & Materials,Low,Moderate,Occasional,Basic,Basic,Fully Remote,Good,3,3,1.0,Critical
Construction,35,2342796.88,26,5.05,19,Waterfall,Mixed,0,4,2.5,Monitoring,Volatile,0.47,0.42,4,5.15,Critical,Familiar,4,High,0.0,1.0,Moderate,External,0.24,3.89,0.58,High,1.0,5,0.84,0.0,Junior PM,Ad-hoc,Medium,Excellent,Time & Materials,High,Moderate,Strategic,Unknown,Unknown,Fully Colocated,Good,2,12,1.0,High
IT,13,1022047.13,18,7.14,7,Agile,Mixed,0,4,1.03,Execution,Stable,0.33,0.73,1,3.0,Critical,New,1,Medium,0.0,1.3,Moderate,External,0.88,7.42,0.48,Critical,0.22,2,0.87,0.04,Mid-level PM,Managed,Strict,Limited,Cost-Plus,Low,Extreme,Occasional,Formal,Basic,Hybrid,Basic,10,5,1.1,Critical
Marketing,10,564721.22,11,3.72,6,Kanban,Mixed,1,1,2.16,Monitoring,Moderate,0.35,0.76,2,2.61,High,New,4,Medium,0.0,1.1,Moderate,External,0.96,8.11,0.79,High,1.5,0,0.6,0.0,Mid-level PM,Managed,Low,Moderate,Fixed-Price,Low,High,Occasional,Advanced,Formal,Fully Colocated,Basic,7,2,1.0,Medium
IT,9,876179.03,14,6.37,10,Agile,Junior,2,5,0.65,Planning,Stable,0.36,0.92,0,1.61,High,Expert,3,Excellent,0.12,0.71,Strong,External,0.97,8.04,0.56,Medium,0.28,1,0.61,0.98,Senior PM,Ad-hoc,High,Good,Fixed-Price,High,Moderate,Occasional,Unknown,Unknown,Partially Colocated,Good,11,6,1.1,High
R&D,28,2508146.42,27,10.0,21,Agile,Junior,4,4,2.78,Planning,Volatile,0.35,0.94,1,1.32,Critical,Familiar,4,Poor,0.0,0.96,Strong,Government,0.99,6.08,0.66,Medium,3.5,4,0.71,0.0,Senior PM,Managed,High,Good,Hybrid,Medium,High,Strategic,Formal,Formal,Hybrid,Excellent,11,11,1.0,High
R&D,16,1190976.74,18,7.95,13,Agile,Mixed,0,2,2.62,Planning,Stable,0.15,0.73,0,3.71,Medium,New,2,Low,0.09,0.8,Weak,External,0.02,1.68,0.63,High,0.38,3,0.55,0.0,Senior PM,Ad-hoc,Low,Moderate,Time & Materials,High,Moderate,Occasional,Unknown,Unknown,Partially Colocated,Excellent,4,1,1.0,Critical
IT,14,1177234.38,24,10.0,9,Kanban,Mixed,1,6,1.19,Monitoring,Moderate,0.25,0.79,1,3.01,Medium,Expert,3,Low,0.04,0.81,Weak,External,0.66,7.39,0.96,Medium,1.05,1,0.82,0.75,Mid-level PM,Optimizing,High,Good,Fixed-Price,Low,High,Regular,Basic,Advanced,Hybrid,Poor,9,1,1.0,Medium
IT,10,559282.73,10,5.89,7,Agile,Expert,3,3,0.32,Monitoring,Volatile,0.16,0.98,3,4.36,Medium,Familiar,4,Excellent,0.32,0.71,Moderate,Internal,0.88,5.51,0.93,Critical,0.93,3,0.68,0.01,Mid-level PM,Managed,High,Moderate,Time & Materials,Low,High,Occasional,Formal,Formal,Fully Colocated,Basic,10,2,1.1,Low
Manufacturing,8,818086.66,7,3.01,12,Agile,Junior,1,0,0.38,Closure,Stable,0.58,0.71,1,2.97,Medium,Expert,4,Poor,0.07,1.14,Strong,External,0.22,2.81,0.78,Critical,1.25,7,0.84,0.0,Junior PM,Defined,Low,Poor,Fixed-Price,High,Moderate,Strategic,Advanced,Unknown,Hybrid,Poor,2,1,1.0,Medium
IT,11,873120.02,19,10.0,6,Agile,Junior,2,6,1.17,Initiation,Moderate,0.27,0.88,2,3.05,Critical,New,4,Poor,0.24,0.93,Weak,Mixed,0.15,9.64,0.9,Low,0.71,4,0.75,0.58,Mid-level PM,Managed,High,Moderate,Fixed-Price,Medium,High,First-time,Formal,Basic,Fully Colocated,Poor,9,3,1.0,Critical
Marketing,18,1026857.56,14,5.05,10,Hybrid,Senior,3,4,1.03,Closure,Stable,0.22,0.65,1,0.68,Medium,Expert,1,Excellent,0.0,1.2,Moderate,External,0.45,2.34,0.64,High,2.1,3,0.75,0.0,Certified PM,Managed,Low,Good,Fixed-Price,Low,Moderate,Strategic,Basic,Basic,Partially Colocated,Basic,4,2,1.0,Low
Construction,36,2354280.33,25,4.21,22,Waterfall,Expert,5,1,3.26,Closure,Moderate,0.09,0.57,0,4.73,Medium,Familiar,4,High,0.0,0.71,Weak,Internal,0.21,7.26,0.61,Critical,1.29,7,0.81,0.0,Senior PM,Managed,Low,Good,Fixed-Price,Medium,Moderate,Strategic,Advanced,Basic,Fully Remote,Poor,1,10,1.0,Low
Construction,24,1432301.02,20,6.07,10,Waterfall,Mixed,1,5,0.61,Monitoring,Stable,0.2,0.34,0,1.89,Low,Expert,2,Poor,0.0,0.94,Moderate,External,0.63,3.81,0.69,Low,1.08,6,0.91,0.0,Junior PM,Defined,Medium,Moderate,Fixed-Price,Low,Stable,Occasional,Formal,Basic,Partially Colocated,Good,2,8,1.0,Medium
IT,10,933641.38,12,5.19,9,Scrum,Mixed,2,4,1.98,Initiation,Stable,0.33,0.83,2,1.64,High,New,3,High,0.08,0.78,Strong,External,0.28,8.66,0.93,Critical,3.81,0,0.77,0.57,Junior PM,Managed,High,Moderate,Time & Materials,Low,Moderate,Regular,Unknown,Formal,Fully Colocated,Basic,9,3,1.0,High
Manufacturing,15,788107.29,19,9.8,10,Scrum,Mixed,1,5,1.1,Initiation,Moderate,0.39,0.77,2,7.58,Low,New,5,Excellent,0.22,1.28,Weak,Mixed,0.04,7.02,0.57,Medium,1.15,0,0.87,0.0,Senior PM,Managed,Low,Excellent,Fixed-Price,High,Extreme,First-time,Formal,Formal,Partially Colocated,Poor,7,2,1.0,Critical
Construction,39,2103201.61,31,7.54,20,Waterfall,Mixed,1,4,1.14,Planning,Stable,0.28,0.71,1,2.54,High,Familiar,2,Excellent,0.0,1.02,Weak,External,0.28,2.77,0.81,Low,0.22,7,0.93,0.0,Junior PM,Managed,Medium,Good,Fixed-Price,High,Moderate,Occasional,Advanced,Formal,Fully Remote,Excellent,5,14,1.0,Medium
Construction,32,2005872.39,26,5.71,15,Waterfall,Mixed,2,1,1.04,Execution,Moderate,0.46,0.39,1,5.36,Medium,Familiar,2,Medium,0.0,0.68,Strong,External,0.73,7.2,0.87,Medium,2.28,4,0.71,0.0,Junior PM,Defined,Strict,Limited,Fixed-Price,Low,Extreme,Strategic,Formal,Formal,Fully Remote,Basic,4,11,1.0,High
IT,8,504295.22,8,2.95,7,Scrum,Senior,1,3,3.46,Initiation,Moderate,0.36,0.66,2,2.47,Low,Expert,2,Excellent,0.0,1.07,Strong,External,0.39,3.08,0.46,Critical,1.66,7,0.84,0.59,Mid-level PM,Optimizing,High,Excellent,Time & Materials,Low,Stable,Occasional,Formal,Advanced,Fully Remote,Basic,9,3,1.0,Low
Healthcare,10,650534.36,17,6.33,5,Kanban,Senior,3,2,0.46,Planning,Moderate,0.16,0.72,5,2.27,Critical,Expert,2,Poor,0.0,0.91,Strong,External,0.14,4.84,0.47,Critical,1.9,5,0.74,0.0,Junior PM,Managed,High,Limited,Cost-Plus,High,Moderate,Occasional,Advanced,Advanced,Hybrid,Basic,8,3,1.0,Low
IT,10,988498.78,15,5.83,13,Agile,Mixed,0,1,1.74,Planning,Volatile,0.48,0.72,0,3.8,Critical,Familiar,5,High,0.0,0.71,Moderate,External,0.71,7.58,0.7,High,0.36,2,0.84,0.55,Senior PM,Defined,Low,Moderate,Fixed-Price,Low,Stable,Regular,Basic,Basic,Fully Colocated,Basic,12,2,1.1,Medium
Healthcare,10,1040339.38,16,5.47,10,Kanban,Senior,3,2,2.48,Monitoring,Stable,0.19,0.66,2,1.41,Critical,New,4,Poor,0.0,0.82,Moderate,External,0.8,3.05,0.89,Medium,1.51,7,0.7,0.0,Senior PM,Managed,Strict,Limited,Time & Materials,Medium,Moderate,Regular,Formal,Advanced,Partially Colocated,Basic,8,1,1.0,Medium
R&D,12,954190.93,16,6.99,13,Agile,Mixed,2,5,2.29,Initiation,Stable,0.26,0.6,1,4.79,Critical,New,1,Medium,0.08,0.69,Weak,Mixed,0.02,4.69,0.73,Low,1.14,6,0.72,0.0,Senior PM,Defined,High,Limited,Fixed-Price,High,Stable,First-time,Unknown,Advanced,Hybrid,Excellent,1,2,1.0,Medium
Marketing,8,664781.65,9,3.06,10,Waterfall,Mixed,3,2,0.48,Initiation,Moderate,0.48,0.49,2,1.63,Low,Familiar,1,Low,0.0,1.28,Moderate,External,0.13,4.33,0.99,Medium,1.68,6,0.67,0.0,Senior PM,Defined,High,Good,Fixed-Price,Low,High,Regular,Basic,Basic,Fully Colocated,Excellent,6,3,1.0,Medium
R&D,12,1154558.4,21,9.39,14,Scrum,Mixed,0,3,1.4,Execution,Stable,0.38,0.92,2,6.65,Low,Familiar,5,Medium,0.11,0.88,Weak,Government,0.83,5.84,0.89,High,1.11,0,0.79,0.0,Senior PM,Managed,Low,Excellent,Fixed-Price,Low,Moderate,First-time,Formal,Formal,Hybrid,Basic,1,9,1.0,Medium
IT,7,801887.36,13,6.44,9,Scrum,Mixed,0,3,0.34,Monitoring,Stable,0.14,0.48,1,7.7,High,New,5,Medium,0.19,1.15,Strong,External,0.72,2.55,0.56,Critical,2.73,6,0.84,0.26,Mid-level PM,Defined,Strict,Limited,Fixed-Price,Low,High,Occasional,Advanced,Unknown,Partially Colocated,Basic,10,5,1.1,Medium
IT,11,858646.31,17,7.18,9,Scrum,Senior,4,3,0.47,Execution,Moderate,0.55,0.65,1,3.81,High,Familiar,5,Low,0.05,0.82,Moderate,External,0.46,5.04,0.94,Critical,0.59,6,0.41,0.29,Certified PM,Managed,High,Limited,Fixed-Price,Low,Moderate,Regular,Formal,Formal,Fully Remote,Poor,8,3,1.0,Critical
Healthcare,5,287879.33,6,2.11,6,Scrum,Expert,4,1,1.67,Monitoring,Stable,0.07,0.57,2,1.26,Critical,New,1,Low,0.0,1.0,Moderate,Internal,0.91,9.94,0.96,High,1.06,3,0.96,0.0,Certified PM,Optimizing,High,Excellent,Time & Materials,Low,Moderate,First-time,Advanced,Advanced,Partially Colocated,Poor,4,1,1.0,Low
Manufacturing,12,448974.44,11,3.4,4,Hybrid,Mixed,1,3,0.4,Initiation,Moderate,0.37,0.3,2,4.38,Critical,Familiar,4,Excellent,0.0,0.69,Moderate,External,0.89,7.16,0.99,High,0.34,5,0.53,0.0,Mid-level PM,Defined,High,Good,Fixed-Price,Medium,Stable,First-time,Basic,Basic,Partially Colocated,Good,10,1,1.0,High
IT,6,648922.63,13,4.61,9,Kanban,Senior,0,2,2.93,Monitoring,Stable,0.43,0.97,0,5.37,Low,Familiar,4,Poor,0.0,1.22,Strong,Mixed,0.37,3.48,0.66,Critical,2.75,7,0.8,0.5,Mid-level PM,Optimizing,High,Moderate,Hybrid,Low,Extreme,Occasional,Formal,Formal,Fully Remote,Good,10,3,1.1,Medium
IT,18,1218535.74,24,10.0,9,Agile,Senior,5,5,1.65,Planning,Volatile,0.18,0.79,1,6.66,Low,New,3,Low,0.04,1.0,Moderate,Mixed,0.29,9.06,0.63,Medium,0.23,3,0.51,0.89,Senior PM,Optimizing,Low,Moderate,Time & Materials,Low,High,Regular,Formal,Advanced,Hybrid,Basic,4,5,1.0,Medium
